QuestionerId,QuotesId,OfferId,Status,TopicCreatedOn,LeadType
b512e92a-468e-47e0-9f67-7137ebb360d3,0f3aed19-9dee-4bb7-b509-aad0ca87ad83,2c8631b4-2728-44c8-9c82-2bf8350ff188,2,2018-01-01 08:43:59 GMT,NULL
b512e92a-468e-47e0-9f67-7137ebb360d3,0f3aed19-9dee-4bb7-b509-aad0ca87ad83,8ba86229-207f-4d8c-96e9-bc816744a939,2,2018-01-01 08:44:01 GMT,NULL
78b22611-cfaa-4808-a3e0-840068a7968b,8dfa98ad-8e9d-42de-9dbf-731bfc36d84f,3ba800ef-5a15-49c3-aed1-14a0a89c8877,2,2018-01-01 15:55:31 GMT,NULL
78b22611-cfaa-4808-a3e0-840068a7968b,8dfa98ad-8e9d-42de-9dbf-731bfc36d84f,58323676-3cbc-482b-aa9f-bfa620d2d0f5,2,2018-01-01 15:55:56 GMT,NULL
1751f835-dcb4-478a-8747-bdbdf6f53dc5,c432cb56-a168-4eb3-985c-bf3fc1a29eb5,850a3336-090f-4a85-95f8-8c47f6ebb6e3,1,2018-01-01 16:01:04 GMT,NULL
d15b2f38-4122-4cde-9fa8-d6522d819260,c61c4d2f-3485-44e0-a318-d94a22ce0387,cd1d39f6-6cd9-4073-abef-e3d7ddce7e94,2,2018-01-01 17:04:14 GMT,NULL
9cdc130c-d536-4402-a44f-730b46e164e4,09cf25bb-7870-442b-a29b-b2cbd0a8a5d6,f653729d-8be4-4b76-b34f-033e70ad14ea,1,2018-01-01 19:31:25 GMT,NULL
0a104f7a-6e46-4518-b0dc-0aefb57be425,07ed59f3-2a90-4b1e-9d5a-87dad88ce5b9,7a65a9ed-8df8-4db8-a334-bf6f68c54379,2,2018-01-01 22:01:41 GMT,NULL
3e0dad54-4859-44e2-9ab7-9cf46778a568,e117a514-2875-4f74-bd04-06100ffca3b6,f029213b-3cb7-4f1d-a2e4-f88c6a43996f,2,2018-01-01 22:59:54 GMT,NULL
3c78acd8-94fb-4725-af76-0bb18ffa5533,6a3634b9-f1c1-4e4d-8a86-3b578a99b083,f56ffa80-d437-4d72-a3e5-e5723b2f5ee7,2,2018-01-02 13:51:34 GMT,NULL
3c78acd8-94fb-4725-af76-0bb18ffa5533,6a3634b9-f1c1-4e4d-8a86-3b578a99b083,d9a5d099-c438-43c3-b514-dd9682d27945,2,2018-01-02 13:51:35 GMT,NULL
3c78acd8-94fb-4725-af76-0bb18ffa5533,6a3634b9-f1c1-4e4d-8a86-3b578a99b083,8883063f-2815-4017-9d8d-b4b865aca94f,2,2018-01-02 13:51:37 GMT,NULL
3c78acd8-94fb-4725-af76-0bb18ffa5533,6a3634b9-f1c1-4e4d-8a86-3b578a99b083,ad177dd8-1e4a-43d7-aace-133df6cff534,2,2018-01-02 13:51:37 GMT,NULL
3c78acd8-94fb-4725-af76-0bb18ffa5533,6a3634b9-f1c1-4e4d-8a86-3b578a99b083,1a73c1ea-c16f-4c18-9f8a-2a9eb16a996a,2,2018-01-02 13:51:39 GMT,NULL
d07c02f5-d4cd-4d0a-a67e-29493feac14f,de58f13b-216d-4be8-a2b7-d756fdbff6f8,d4e55be8-24a7-4374-a11e-070cdc19afb7,2,2018-01-02 13:59:00 GMT,NULL
d07c02f5-d4cd-4d0a-a67e-29493feac14f,de58f13b-216d-4be8-a2b7-d756fdbff6f8,570aa357-d127-4a9b-95d0-209814c0474e,2,2018-01-02 13:59:05 GMT,NULL
d07c02f5-d4cd-4d0a-a67e-29493feac14f,de58f13b-216d-4be8-a2b7-d756fdbff6f8,d660397e-063b-4db5-a5db-b091282d22c6,2,2018-01-02 13:59:10 GMT,NULL
d07c02f5-d4cd-4d0a-a67e-29493feac14f,de58f13b-216d-4be8-a2b7-d756fdbff6f8,68cabd25-4368-42a8-8f47-7de94ea6f29d,2,2018-01-02 13:59:13 GMT,NULL
d07c02f5-d4cd-4d0a-a67e-29493feac14f,de58f13b-216d-4be8-a2b7-d756fdbff6f8,a4a3e53d-4369-4564-9886-166f12c43e02,2,2018-01-02 13:59:30 GMT,NULL
91bcb0b5-4378-499b-9927-fff33f32450e,57fa0b50-855e-426f-8aae-0b90122217cd,174f9af8-a1d4-4615-b797-7633ac2ab864,2,2018-01-02 15:57:36 GMT,NULL
1412f7f4-229d-4d41-baa9-56d2ea9ef738,fe317c3e-0e3d-4215-bda0-c0978b93fb2b,a193b7c5-1375-4b61-be54-20c9b59aedb3,2,2018-01-02 16:11:57 GMT,NULL
1412f7f4-229d-4d41-baa9-56d2ea9ef738,fe317c3e-0e3d-4215-bda0-c0978b93fb2b,eead3f0f-cbd7-4e6c-bba7-435e24ac3ae9,2,2018-01-02 16:12:06 GMT,NULL
1412f7f4-229d-4d41-baa9-56d2ea9ef738,fe317c3e-0e3d-4215-bda0-c0978b93fb2b,4c48b585-2abc-45ff-ab3a-9c2f86313f0a,2,2018-01-02 16:12:16 GMT,NULL
e62e0253-3af7-477c-8212-f3716ec0488b,33e02ab9-2aea-434b-949e-ea951daf265b,b588a841-2098-4015-91bb-8df962269348,1,2018-01-02 17:22:51 GMT,NULL
e62e0253-3af7-477c-8212-f3716ec0488b,33e02ab9-2aea-434b-949e-ea951daf265b,8eae854d-b2a8-4384-bbad-01959d641d0c,1,2018-01-02 17:24:10 GMT,NULL
ec7f2aae-346b-443c-b682-8d8c765ac7dd,5076db75-680d-404d-b3b3-7425d97239b6,2d2777da-6595-4eca-84b1-4da83695a850,2,2018-01-02 17:59:05 GMT,NULL
